id,score,total_errors,popularity
17969095,-4,80,unpopular
18720134,-4,4,unpopular
53944564,-4,3,unpopular
32826825,-4,2,unpopular
36547247,-4,25,unpopular
49026403,-4,28,unpopular
25498133,-4,3,unpopular
31870979,-4,6,unpopular
44865584,-4,3,unpopular
44212431,-4,4,unpopular
40566264,-4,3,unpopular
45125375,-4,7,unpopular
48057559,-4,6,unpopular
43930997,-4,15,unpopular
31339263,-4,4,unpopular
29919056,-4,3,unpopular
48471136,-4,24,unpopular
34047708,-4,4,unpopular
37828939,-4,9,unpopular
10464915,-4,1,unpopular
24240168,-4,11,unpopular
35906912,-4,2,unpopular
45030347,-4,2,unpopular
57153794,-4,22,unpopular
48153281,-4,21,unpopular
41829235,-4,3,unpopular
32134167,-4,13,unpopular
21167410,-4,4,unpopular
24093746,-4,25,unpopular
29236242,-4,12,unpopular
21266527,-4,10,unpopular
26113416,-4,27,unpopular
15263915,-4,14,unpopular
38622997,-4,37,unpopular
53831751,-4,2,unpopular
40966900,-4,2,unpopular
54662040,-4,26,unpopular
33334639,-4,21,unpopular
28195585,-4,1,unpopular
45908104,-4,24,unpopular
55759677,-4,18,unpopular
30562070,-4,11,unpopular
17905653,-4,4,unpopular
54417850,-4,2,unpopular
50557147,-4,20,unpopular
29347493,-4,1,unpopular
43421677,-4,14,unpopular
42060615,-4,19,unpopular
41234575,-4,23,unpopular
52109191,-4,8,unpopular
39701073,-4,1,unpopular
48136583,-4,27,unpopular
26971666,-4,28,unpopular
30183597,-4,16,unpopular
49190684,-4,39,unpopular
17743094,-4,38,unpopular
15240190,-4,8,unpopular
37178903,-4,4,unpopular
46641994,-4,1,unpopular
37812678,-4,13,unpopular
34477219,-4,3,unpopular
57106855,-4,2,unpopular
